,train_loss,train_acc
1,3.3480842113494873,tensor(0.02)
2,3.282712936401367,tensor(0.05)
3,3.2434420585632324,tensor(0.05)
4,3.2992441654205322,tensor(0.04)
5,3.260349988937378,tensor(0.06)
6,3.176438093185425,tensor(0.11)
7,3.1278724670410156,tensor(0.18)
8,3.117030143737793,tensor(0.12)
9,3.072067975997925,tensor(0.20)
10,3.076211452484131,tensor(0.18)
11,3.0180819034576416,tensor(0.23)
12,2.9857025146484375,tensor(0.27)
13,2.9900801181793213,tensor(0.25)
14,2.9730091094970703,tensor(0.28)
15,2.9820291996002197,tensor(0.35)
16,2.865874767303467,tensor(0.40)
17,2.824633836746216,tensor(0.47)
18,2.788917303085327,tensor(0.50)
19,2.847461223602295,tensor(0.35)
20,2.7960126399993896,tensor(0.40)
21,2.7282514572143555,tensor(0.44)
22,2.7503316402435303,tensor(0.47)
23,2.687610149383545,tensor(0.50)
24,2.6503853797912598,tensor(0.45)
25,2.5800533294677734,tensor(0.51)
26,2.5769846439361572,tensor(0.51)
27,2.6014323234558105,tensor(0.49)
28,2.4993293285369873,tensor(0.56)
29,2.43247652053833,tensor(0.59)
30,2.594756603240967,tensor(0.44)
31,2.4967613220214844,tensor(0.59)
32,2.40500807762146,tensor(0.61)
33,2.3904638290405273,tensor(0.57)
34,2.3384149074554443,tensor(0.60)
35,2.2988028526306152,tensor(0.58)
36,2.299468994140625,tensor(0.56)
37,2.247868299484253,tensor(0.60)
38,2.2088167667388916,tensor(0.58)
39,2.1697776317596436,tensor(0.68)
40,2.196075201034546,tensor(0.56)
41,2.1658852100372314,tensor(0.63)
42,2.157083034515381,tensor(0.58)
43,2.04641056060791,tensor(0.66)
44,1.9863580465316772,tensor(0.66)
45,1.9286943674087524,tensor(0.68)
46,2.033266305923462,tensor(0.67)
47,1.9263564348220825,tensor(0.67)
48,1.9472291469573975,tensor(0.70)
49,1.9697221517562866,tensor(0.59)
50,1.9009673595428467,tensor(0.65)
51,1.8757435083389282,tensor(0.63)
52,1.7970349788665771,tensor(0.69)
53,1.899733304977417,tensor(0.59)
54,1.7622466087341309,tensor(0.70)
55,1.7682796716690063,tensor(0.70)
56,1.7217155694961548,tensor(0.73)
57,1.769055962562561,tensor(0.73)
58,1.574017882347107,tensor(0.69)
59,1.7490794658660889,tensor(0.62)
60,1.6629022359848022,tensor(0.68)
61,1.5700151920318604,tensor(0.73)
62,1.5573498010635376,tensor(0.69)
