,train_loss,train_acc
1,0.6816366910934448,tensor(0.56)
2,0.438303142786026,tensor(0.88)
3,0.5836306810379028,tensor(0.78)
4,0.5355362296104431,tensor(0.80)
5,0.4821123480796814,tensor(0.86)
6,0.4456144869327545,tensor(0.83)
7,0.4562784433364868,tensor(0.84)
8,0.5246670246124268,tensor(0.73)
9,0.49691081047058105,tensor(0.78)
10,0.4639773964881897,tensor(0.80)
11,0.3981305658817291,tensor(0.84)
12,0.45800530910491943,tensor(0.84)
13,0.42126670479774475,tensor(0.84)
14,0.44515472650527954,tensor(0.80)
15,0.35455524921417236,tensor(0.91)
16,0.4245983362197876,tensor(0.81)
17,0.4273589253425598,tensor(0.83)
18,0.36863091588020325,tensor(0.83)
19,0.3069716989994049,tensor(0.89)
20,0.43549808859825134,tensor(0.81)
21,0.3620094358921051,tensor(0.80)
22,0.5359634160995483,tensor(0.75)
23,0.3704703748226166,tensor(0.81)
24,0.4705257713794708,tensor(0.80)
25,0.37346798181533813,tensor(0.83)
26,0.3431767523288727,tensor(0.88)
27,0.41759708523750305,tensor(0.80)
28,0.5561199188232422,tensor(0.73)
29,0.3729811906814575,tensor(0.84)
30,0.42602476477622986,tensor(0.80)
31,0.42923519015312195,tensor(0.73)
32,0.37585368752479553,tensor(0.89)
33,0.35549139976501465,tensor(0.84)
34,0.38283783197402954,tensor(0.81)
35,0.28171518445014954,tensor(0.86)
36,0.30850228667259216,tensor(0.84)
37,0.3109625577926636,tensor(0.88)
38,0.43211179971694946,tensor(0.75)
39,0.304451048374176,tensor(0.88)
40,0.2394338846206665,tensor(0.89)
41,0.32682597637176514,tensor(0.88)
42,0.29354071617126465,tensor(0.88)
43,0.367524653673172,tensor(0.80)
44,0.35201138257980347,tensor(0.83)
45,0.3071591556072235,tensor(0.88)
46,0.4609188437461853,tensor(0.77)
47,0.38879823684692383,tensor(0.80)
48,0.29894569516181946,tensor(0.88)
49,0.34773245453834534,tensor(0.80)
50,0.34238696098327637,tensor(0.88)
51,0.4055854082107544,tensor(0.80)
52,0.3501746654510498,tensor(0.83)
53,0.3095550835132599,tensor(0.83)
54,0.25645145773887634,tensor(0.89)
55,0.2955760955810547,tensor(0.88)
56,0.3593900501728058,tensor(0.88)
57,0.29657474160194397,tensor(0.88)
58,0.40704676508903503,tensor(0.75)
59,0.2904573082923889,tensor(0.92)
60,0.377622127532959,tensor(0.84)
61,0.3682345449924469,tensor(0.88)
62,0.28286150097846985,tensor(0.88)
63,0.3795025944709778,tensor(0.77)
64,0.2586606740951538,tensor(0.91)
65,0.23650293052196503,tensor(0.91)
66,0.4220536947250366,tensor(0.77)
67,0.3088572025299072,tensor(0.88)
68,0.41562914848327637,tensor(0.81)
69,0.4564002752304077,tensor(0.75)
70,0.3502419888973236,tensor(0.86)
71,0.24415947496891022,tensor(0.86)
72,0.3268013298511505,tensor(0.88)
73,0.3412504196166992,tensor(0.84)
74,0.3545266389846802,tensor(0.81)
75,0.384258896112442,tensor(0.86)
76,0.2988120913505554,tensor(0.84)
77,0.2882567346096039,tensor(0.84)
78,0.3523677587509155,tensor(0.77)
79,0.3151327073574066,tensor(0.86)
80,0.2614266872406006,tensor(0.88)
81,0.27018314599990845,tensor(0.89)
82,0.33810049295425415,tensor(0.86)
83,0.3375745713710785,tensor(0.88)
84,0.23518474400043488,tensor(0.91)
85,0.33192703127861023,tensor(0.86)
86,0.3433634340763092,tensor(0.83)
87,0.2882716655731201,tensor(0.86)
88,0.21892550587654114,tensor(0.92)
89,0.23136678338050842,tensor(0.89)
90,0.2546514570713043,tensor(0.94)
91,0.2803848385810852,tensor(0.86)
92,0.2797662913799286,tensor(0.91)
93,0.26028645038604736,tensor(0.88)
94,0.2545474171638489,tensor(0.91)
95,0.41665855050086975,tensor(0.75)
96,0.4357146620750427,tensor(0.83)
97,0.3036855161190033,tensor(0.84)
98,0.44707566499710083,tensor(0.84)
99,0.26685136556625366,tensor(0.91)
100,0.18882249295711517,tensor(0.92)
101,0.17306146025657654,tensor(0.94)
102,0.336063027381897,tensor(0.83)
103,0.23538357019424438,tensor(0.91)
104,0.3370996415615082,tensor(0.83)
105,0.334499329328537,tensor(0.84)
106,0.16857528686523438,tensor(0.94)
107,0.23272451758384705,tensor(0.91)
108,0.3331511318683624,tensor(0.83)
109,0.19702468812465668,tensor(0.92)
110,0.43848156929016113,tensor(0.77)
111,0.33787667751312256,tensor(0.84)
112,0.21634508669376373,tensor(0.91)
113,0.4042443633079529,tensor(0.77)
114,0.20251508057117462,tensor(0.91)
115,0.30592671036720276,tensor(0.88)
116,0.2931525409221649,tensor(0.92)
117,0.18320056796073914,tensor(0.91)
118,0.24368512630462646,tensor(0.94)
119,0.27526038885116577,tensor(0.89)
120,0.25142091512680054,tensor(0.92)
121,0.21197721362113953,tensor(0.89)
122,0.25656193494796753,tensor(0.88)
123,0.2527206838130951,tensor(0.84)
124,0.28937751054763794,tensor(0.86)
125,0.2727051377296448,tensor(0.91)
126,0.3272553086280823,tensor(0.88)
127,0.44213059544563293,tensor(0.80)
128,0.2524281442165375,tensor(0.86)
129,0.2369246482849121,tensor(0.91)
